city/county,state,date,positive_tests,total_tests
Chicago,Illinois,2021/04/20,658,16368
Chicago,Illinois,2022/02/02,469,13743
Chicago,Illinois,2021/08/07,351,10526
Chicago,Illinois,2021/01/22,904,15971
Chicago,Illinois,2020/03/21,115,606
Chicago,Illinois,2022/01/12,4788,41281
Chicago,Illinois,2021/08/10,569,17172
Chicago,Illinois,2020/12/25,218,2987
Chicago,Illinois,2020/06/21,75,2173
Chicago,Illinois,2020/09/21,477,10536
Chicago,Illinois,2021/01/27,812,14863
Chicago,Illinois,2020/04/19,435,1581
Chicago,Illinois,2020/11/02,2500,18272
Chicago,Illinois,2021/08/16,634,18613
Chicago,Illinois,2022/01/09,2518,12493
Chicago,Illinois,2020/04/30,1146,4542
Chicago,Illinois,2021/03/05,339,12063
Chicago,Illinois,2020/12/10,2021,17192
Chicago,Illinois,2022/03/06,99,5254
Chicago,Illinois,2020/03/20,126,824
Chicago,Illinois,2022/01/16,1446,9453
Chicago,Illinois,2020/06/27,169,4197
Chicago,Illinois,2020/05/01,1106,4589
Chicago,Illinois,2021/12/21,7743,56738
Chicago,Illinois,2021/01/14,1243,17552
Chicago,Illinois,2021/02/16,254,9588
Chicago,Illinois,2021/06/11,57,8619
Chicago,Illinois,2020/12/29,1990,17539
Chicago,Illinois,2022/01/14,3765,40970
Chicago,Illinois,2021/01/03,752,6667
Chicago,Illinois,2022/01/04,10792,59266
Chicago,Illinois,2020/11/16,3010,23690
Chicago,Illinois,2021/08/25,667,17698
Chicago,Illinois,2021/06/13,29,3635
Chicago,Illinois,2021/02/08,482,15594
Chicago,Illinois,2021/06/09,88,9815
Chicago,Illinois,2020/09/27,169,3384
Chicago,Illinois,2020/08/20,485,9425
Chicago,Illinois,2020/08/26,499,10081
Chicago,Illinois,2021/08/15,330,8130
Chicago,Illinois,2021/02/14,178,4557
Chicago,Illinois,2020/08/03,516,9482
Chicago,Illinois,2021/05/07,488,13152
Chicago,Illinois,2021/07/19,217,11275
Chicago,Illinois,2020/10/08,655,12178
Chicago,Illinois,2020/06/22,326,7300
Chicago,Illinois,2020/09/02,504,10194
Chicago,Illinois,2020/10/15,1050,14430
Chicago,Illinois,2021/01/17,481,6192
Chicago,Illinois,2020/11/09,3466,21181
Chicago,Illinois,2021/08/31,539,17646
Chicago,Illinois,2021/05/02,302,5453
Chicago,Illinois,2021/09/18,400,11161
Chicago,Illinois,2021/06/29,64,8148
Chicago,Illinois,2021/11/11,650,20658
Chicago,Illinois,2021/05/28,195,8934
Chicago,Illinois,2020/04/06,561,1826
