Date,Day,Positive Tests,Not Positive Tests,Total Tests,Tests - Age 0-17,Tests - Age 18-29,Tests - Age 30-39,Tests - Age 40-49,Tests - Age 50-59,Tests - Age 60-69,Tests - Age 70-79,Tests - Age 80+,Tests - Age Unknown,Tests - Female,Tests - Male,Tests - Gender Unknown,Tests - Latinx,Tests - Asian Non-Latinx,Tests - Black Non-Latinx,Tests - White Non-Latinx,Tests - Other Race Non-Latinx,Tests - Unknown Race/Ethnicity,Positive Tests - Age 0-17,Positive Tests - Age 18-29,Positive Tests - Age 30-39,Positive Tests - Age 40-49,Positive Tests - Age 50-59,Positive Tests - Age 60-69,Positive Tests - Age 70-79,Positive Tests - Age 80+,Positive Tests - Age Unknown,Positive Tests - Female,Positive Tests - Male,Positive Tests - Unknown Gender,Positive Tests - Latinx,Positive Tests - Asian Non-Latinx,Positive Tests - Black Non-Latinx,Positive Tests - White Non-Latinx,Positive Tests - Other Race Non-Latinx,Positive Tests - Unknown Race/Ethnicity,Not-Positive Tests - Age 0-17,Not-Positive Tests - Age 18-29,Not-Positive Tests - Age 30-39,Not-Positive Tests - Age 40-49,Not-Positive Tests - Age 50-59,Not-Positive Tests - Age 60-69,Not-Positive Tests - Age 70-79,Not-Positive Tests - Age 80+,Not-Positive Tests - Age Unknown,Not-Positive Tests - Female,Not-Positive Tests - Male,Not-Positive Tests - Gender Unknown,Not-Positive Tests - Latinx,Not-Positive Tests - Asian Non-Latinx,Not-Positive Tests - Black Non-Latinx,Not-Positive Tests - White Non-Latinx,Not-Positive Tests - Other Race Non-Latinx,Not-Positive Tests - Unknown Race/Ethnicity
07/11/2021,Sunday,64,4791,4855,545,1094,1012,854,673,395,193,83,6,2438,2395,22,440,201,758,784,103,2569,15,13,16,7,9,1,3,0,0,31,33,0,8,2,14,25,3,12,530,1081,996,847,664,394,190,83,6,2407,2362,22,432,199,744,759,100,2557
11/23/2020,Monday,2865,21672,24537,1664,6997,5605,3445,3083,2083,957,692,11,13477,10733,327,4471,974,3860,5950,1014,8268,310,668,552,449,436,255,122,73,0,1490,1370,5,1242,81,526,579,117,320,1354,6329,5053,2996,2647,1828,835,619,11,11987,9363,322,3229,893,3334,5371,897,7948
07/19/2020,Sunday,118,2798,2916,209,623,525,351,411,367,253,176,1,1529,1364,23,344,63,600,792,207,910,12,30,24,12,20,7,8,5,0,60,57,1,28,2,41,35,2,10,197,593,501,339,391,360,245,171,1,1469,1307,22,316,61,559,757,205,900
05/17/2021,Monday,421,14345,14766,1700,3278,2713,1961,1995,1639,848,593,39,7782,6809,175,2065,813,3328,3364,533,4663,64,100,90,58,46,43,9,11,0,242,179,0,91,13,194,66,13,44,1636,3178,2623,1903,1949,1596,839,582,39,7540,6630,175,1974,800,3134,3298,520,4619
01/15/2022,Saturday,2009,15012,17021,2448,4645,3199,2352,1901,1447,681,329,19,9179,7694,148,2611,1399,2893,4146,1574,4398,379,420,352,285,209,205,103,55,1,1043,957,9,517,125,307,474,131,455,2069,4225,2847,2067,1692,1242,578,274,18,8136,6737,139,2094,1274,2586,3672,1443,3943
12/08/2021,Wednesday,1545,33951,35496,12541,6659,5851,4021,3090,1913,923,489,9,19001,15988,507,6126,1963,8663,8262,3456,7026,381,377,317,183,145,71,37,33,1,771,767,7,243,49,400,422,148,283,12160,6282,5534,3838,2945,1842,886,456,8,18230,15221,500,5883,1914,8263,7840,3308,6743
10/26/2021,Tuesday,382,27588,27970,10950,4485,4282,2997,2514,1630,714,389,9,15073,12445,452,5588,1605,6087,6978,2338,5374,87,72,72,52,44,32,14,9,0,195,185,2,82,13,102,119,27,39,10863,4413,4210,2945,2470,1598,700,380,9,14878,12260,450,5506,1592,5985,6859,2311,5335
06/11/2020,Thursday,334,5273,5607,243,1276,1125,782,860,678,380,253,10,2896,2482,229,1058,141,1041,1059,150,2158,24,89,47,55,54,35,21,9,0,170,160,4,171,8,48,47,16,44,219,1187,1078,727,806,643,359,244,10,2726,2322,225,887,133,993,1012,134,2114
01/18/2022,Tuesday,3432,52016,55448,23129,8429,7492,5897,4854,3272,1503,860,12,30527,23671,1250,10994,3437,12023,13748,4065,11181,1093,587,518,417,346,256,134,80,1,1817,1584,31,884,208,584,863,200,693,22036,7842,6974,5480,4508,3016,1369,780,11,28710,22087,1219,10110,3229,11439,12885,3865,10488
01/27/2022,Thursday,1288,41243,42531,16703,7341,5821,4649,3769,2502,1041,684,21,22693,19269,569,9147,2242,10704,8952,3671,7815,347,241,240,159,104,103,57,36,1,646,633,9,345,72,179,371,80,241,16356,7100,5581,4490,3665,2399,984,648,20,22047,18636,560,8802,2170,10525,8581,3591,7574
01/13/2022,Thursday,4073,38483,42556,13695,7126,6520,5071,4519,3141,1456,1015,13,23270,18518,768,8036,2054,10027,9222,2924,10293,1052,712,660,506,466,374,182,121,0,2149,1904,20,1028,204,787,905,227,922,12643,6414,5860,4565,4053,2767,1274,894,13,21121,16614,748,7008,1850,9240,8317,2697,9371
08/14/2020,Friday,408,7873,8281,696,2328,1749,1101,944,751,444,266,2,4593,3506,182,1616,245,1755,2050,301,2314,61,104,77,67,42,36,13,8,0,210,196,2,186,8,82,98,9,25,635,2224,1672,1034,902,715,431,258,2,4383,3310,180,1430,237,1673,1952,292,2289
03/24/2022,Thursday,0,5,5,2,1,1,1,0,0,0,0,0,4,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,4,1,0,0,0,3,1,1,0
09/11/2021,Saturday,358,8444,8802,1943,1746,1684,1116,932,752,417,207,5,4863,3888,51,1385,442,1690,2315,588,2382,63,90,74,58,29,19,18,7,0,207,151,0,95,11,81,114,17,40,1880,1656,1610,1058,903,733,399,200,5,4656,3737,51,1290,431,1609,2201,571,2342
09/22/2021,Wednesday,498,23835,24333,5954,4951,4424,3025,2453,1958,915,643,10,13125,10737,471,3669,1799,4556,6005,3116,5188,88,110,120,82,48,29,11,10,0,238,258,2,97,17,129,175,43,37,5866,4841,4304,2943,2405,1929,904,633,10,12887,10479,469,3572,1782,4427,5830,3073,5151
08/06/2021,Friday,495,14739,15234,1430,3900,3526,2330,1846,1296,575,325,6,8311,6800,123,1728,652,2053,3668,832,6301,62,143,127,61,47,33,14,7,1,247,248,0,104,27,126,167,13,58,1368,3757,3399,2269,1799,1263,561,318,5,8064,6552,123,1624,625,1927,3501,819,6243
07/08/2020,Wednesday,393,10020,10413,570,2394,1993,1359,1424,1365,747,543,18,5557,4437,419,1514,287,2530,2358,292,3432,44,122,80,46,50,29,15,7,0,202,190,1,143,15,87,86,15,47,526,2272,1913,1313,1374,1336,732,536,18,5355,4247,418,1371,272,2443,2272,277,3385
08/28/2020,Friday,493,7867,8360,801,2274,1828,1069,950,810,422,204,2,4591,3635,134,1802,293,1385,1964,345,2571,81,150,81,67,59,30,17,8,0,236,257,0,246,14,85,104,13,31,720,2124,1747,1002,891,780,405,196,2,4355,3378,134,1556,279,1300,1860,332,2540
12/17/2021,Friday,4184,37497,41681,8258,10970,8731,5242,3967,2585,1198,719,11,23404,17767,510,4738,1965,9139,12317,4588,8934,678,1281,1030,524,352,189,85,45,0,2258,1901,25,528,149,1251,1188,323,745,7580,9689,7701,4718,3615,2396,1113,674,11,21146,15866,485,4210,1816,7888,11129,4265,8189
03/09/2021,Tuesday,380,15014,15394,890,4429,2960,2041,1972,1549,809,733,11,8399,6633,362,1991,1009,3016,4225,669,4484,46,112,74,47,47,23,16,15,0,187,193,0,99,17,78,111,30,45,844,4317,2886,1994,1925,1526,793,718,11,8212,6440,362,1892,992,2938,4114,639,4439
02/11/2022,Friday,413,23656,24069,9533,3575,3111,2506,2209,1778,833,507,17,12921,10494,654,4608,1362,6128,5494,1543,4934,81,97,81,44,41,29,22,18,0,221,191,1,89,31,63,147,22,61,9452,3478,3030,2462,2168,1749,811,489,17,12700,10303,653,4519,1331,6065,5347,1521,4873
07/17/2021,Saturday,113,6483,6596,776,1519,1378,1139,915,494,266,107,2,3285,3293,18,684,270,980,1141,144,3377,20,32,26,17,9,3,4,2,0,59,54,0,39,3,30,24,4,13,756,1487,1352,1122,906,491,262,105,2,3226,3239,18,645,267,950,1117,140,3364
01/25/2022,Tuesday,1713,43907,45620,19842,7532,5795,4501,3772,2359,1119,675,25,24689,20042,889,9305,2894,11145,10269,3153,8854,487,322,286,199,159,143,74,43,0,911,793,9,410,108,283,504,97,311,19355,7210,5509,4302,3613,2216,1045,632,25,23778,19249,880,8895,2786,10862,9765,3056,8543
12/06/2020,Sunday,775,5225,6000,477,1620,1331,785,777,533,318,155,4,3130,2767,103,881,227,977,1468,220,2227,76,177,132,122,116,78,47,27,0,409,365,1,257,28,163,219,19,89,401,1443,1199,663,661,455,271,128,4,2721,2402,102,624,199,814,1249,201,2138
03/25/2020,Wednesday,367,955,1322,32,193,312,254,243,151,86,49,2,708,611,3,139,38,386,279,61,419,1,51,67,69,83,34,40,22,0,167,200,0,52,11,183,90,16,15,31,142,245,185,160,117,46,27,2,541,411,3,87,27,203,189,45,404
11/13/2020,Friday,3125,19019,22144,1953,6186,4567,3099,2780,2036,1004,515,4,12244,9581,319,4748,879,3531,5117,921,6948,366,764,612,485,422,266,139,71,0,1653,1462,10,1362,92,510,690,132,339,1587,5422,3955,2614,2358,1770,865,444,4,10591,8119,309,3386,787,3021,4427,789,6609
12/27/2021,Monday,10239,40869,51108,7792,11108,10207,7492,6268,4551,2231,1433,26,27688,22618,802,7480,2110,10752,12089,5777,12900,1566,2490,2226,1564,1160,757,319,154,3,5603,4511,125,2096,359,2399,2206,850,2329,6226,8618,7981,5928,5108,3794,1912,1279,23,22085,18107,677,5384,1751,8353,9883,4927,10571
01/09/2021,Saturday,923,8255,9178,780,2663,1793,1259,1181,798,459,239,6,4959,4085,134,1819,292,1359,2556,489,2663,108,244,179,122,127,80,42,20,1,477,445,1,364,31,162,256,27,83,672,2419,1614,1137,1054,718,417,219,5,4482,3640,133,1455,261,1197,2300,462,2580
11/25/2021,Thursday,238,5941,6179,846,1291,1250,900,845,599,268,176,4,2901,3219,59,776,593,1253,1423,504,1630,28,54,49,35,29,21,12,10,0,118,118,2,43,8,72,65,17,33,818,1237,1201,865,816,578,256,166,4,2783,3101,57,733,585,1181,1358,487,1597
12/02/2020,Wednesday,2340,15940,18280,1431,5215,3984,2514,2253,1661,799,420,3,9423,8417,440,3557,713,3292,3783,672,6263,243,572,454,363,339,208,104,57,0,1191,1148,1,977,98,403,512,88,262,1188,4643,3530,2151,1914,1453,695,363,3,8232,7269,439,2580,615,2889,3271,584,6001
10/16/2021,Saturday,224,8357,8581,1538,1733,1647,1226,1039,789,429,178,2,4476,4034,71,1164,560,1786,2237,1088,1746,38,46,38,38,24,26,11,3,0,116,108,0,38,6,57,87,24,12,1500,1687,1609,1188,1015,763,418,175,2,4360,3926,71,1126,554,1729,2150,1064,1734
04/18/2020,Saturday,510,1471,1981,99,302,383,377,337,261,138,81,3,1011,958,12,414,76,485,335,75,596,12,88,89,100,82,77,42,20,0,238,272,0,200,16,155,62,15,62,87,214,294,277,255,184,96,61,3,773,686,12,214,60,330,273,60,534
08/12/2020,Wednesday,530,10462,10992,846,2906,2313,1452,1341,1163,553,401,17,6050,4603,339,2015,308,2200,2547,343,3579,61,144,109,89,70,33,12,11,1,280,247,3,237,4,100,134,17,38,785,2762,2204,1363,1271,1130,541,390,16,5770,4356,336,1778,304,2100,2413,326,3541
03/06/2021,Saturday,259,5872,6131,563,1383,1262,900,837,648,357,178,3,3146,2889,96,972,282,1424,1647,360,1446,30,67,56,34,31,24,10,7,0,125,134,0,103,17,44,62,16,17,533,1316,1206,866,806,624,347,171,3,3021,2755,96,869,265,1380,1585,344,1429
05/31/2020,Sunday,155,1591,1746,107,341,330,259,263,212,138,93,3,929,809,8,279,38,425,376,58,570,15,31,19,35,18,18,11,7,1,79,75,1,61,2,41,19,3,29,92,310,311,224,245,194,127,86,2,850,734,7,218,36,384,357,55,541
12/29/2021,Wednesday,10469,41934,52403,11691,10982,9852,6996,5554,4042,1991,1270,25,28924,22494,985,8009,2292,8963,10658,4814,17667,2061,2446,2066,1448,1113,759,373,193,10,5860,4482,127,2370,376,2498,2081,732,2412,9630,8536,7786,5548,4441,3283,1618,1077,15,23064,18012,858,5639,1916,6465,8577,4082,15255
07/11/2020,Saturday,194,3920,4114,260,977,849,554,514,502,299,156,3,2215,1850,49,416,106,911,982,188,1511,10,82,25,27,18,18,9,4,1,100,94,0,53,6,53,41,13,28,250,895,824,527,496,484,290,152,2,2115,1756,49,363,100,858,941,175,1483
04/17/2020,Friday,737,2239,2976,105,457,545,521,552,395,192,205,4,1589,1380,7,622,107,652,559,109,927,15,123,117,142,139,104,47,50,0,368,368,1,296,23,205,118,32,63,90,334,428,379,413,291,145,155,4,1221,1012,6,326,84,447,441,77,864
09/16/2021,Thursday,595,21489,22084,5847,4736,4274,2577,1852,1572,800,419,7,11862,9868,354,3502,1449,3782,5508,2440,5403,116,150,140,78,50,32,26,3,0,324,270,1,102,31,150,207,39,66,5731,4586,4134,2499,1802,1540,774,416,7,11538,9598,353,3400,1418,3632,5301,2401,5337
05/05/2021,Wednesday,580,15508,16088,1395,4076,2921,2169,2071,1781,934,721,20,8411,7428,249,2156,846,4027,3540,472,5047,105,155,102,88,65,39,12,14,0,308,272,0,148,32,233,94,9,64,1290,3921,2819,2081,2006,1742,922,707,20,8103,7156,249,2008,814,3794,3446,463,4983
03/19/2020,Thursday,149,812,961,56,171,219,158,144,128,53,28,4,562,390,9,85,40,303,249,28,256,5,29,33,34,19,16,10,2,1,70,79,0,19,7,68,48,3,4,51,142,186,124,125,112,43,26,3,492,311,9,66,33,235,201,25,252
07/06/2020,Monday,352,8439,8791,502,1969,1710,1226,1171,1054,657,494,8,4832,3790,169,1420,246,1925,1932,246,3022,25,92,75,65,41,31,16,7,0,199,149,4,141,16,96,52,6,41,477,1877,1635,1161,1130,1023,641,487,8,4633,3641,165,1279,230,1829,1880,240,2981
08/04/2021,Wednesday,532,15830,16362,1529,4544,3688,2352,1889,1325,636,382,17,8587,7609,166,1859,831,2462,4065,855,6290,70,157,132,75,45,26,19,8,0,267,265,0,108,15,125,190,22,72,1459,4387,3556,2277,1844,1299,617,374,17,8320,7344,166,1751,816,2337,3875,833,6218
05/29/2021,Saturday,117,4784,4901,557,962,877,693,673,567,378,192,2,2542,2337,22,692,214,1126,946,136,1787,23,18,21,20,18,9,4,4,0,61,56,0,34,2,49,18,4,10,534,944,856,673,655,558,374,188,2,2481,2281,22,658,212,1077,928,132,1777
03/12/2021,Friday,414,12850,13264,830,4456,2570,1720,1594,1191,558,336,9,6906,6120,238,1820,912,2491,3811,606,3624,56,114,92,56,52,24,9,11,0,223,191,0,122,19,84,131,18,40,774,4342,2478,1664,1542,1167,549,325,9,6683,5929,238,1698,893,2407,3680,588,3584
03/23/2020,Monday,273,989,1262,43,153,316,279,219,115,94,41,2,644,614,4,99,42,288,270,58,505,2,41,50,53,56,26,36,9,0,127,146,0,32,11,124,68,12,26,41,112,266,226,163,89,58,32,2,517,468,4,67,31,164,202,46,479
10/12/2021,Tuesday,446,27401,27847,10717,4688,4266,3014,2376,1660,731,392,3,14948,12414,485,5068,1415,5913,7157,2800,5494,128,76,88,64,47,22,18,3,0,233,210,3,84,18,123,149,32,40,10589,4612,4178,2950,2329,1638,713,389,3,14715,12204,482,4984,1397,5790,7008,2768,5454
03/18/2021,Thursday,486,13362,13848,991,4553,2840,1738,1575,1167,583,394,7,7247,6367,234,1770,893,2397,4425,651,3712,62,186,93,64,44,24,6,6,1,234,252,0,113,18,108,185,22,40,929,4367,2747,1674,1531,1143,577,388,6,7013,6115,234,1657,875,2289,4240,629,3672
02/15/2022,Tuesday,438,39371,39809,19948,5370,4344,3428,3024,2078,989,605,23,21576,17512,721,8854,2188,10635,8317,2022,7793,116,89,83,41,39,30,21,19,0,239,195,4,91,30,64,149,20,84,19832,5281,4261,3387,2985,2048,968,586,23,21337,17317,717,8763,2158,10571,8168,2002,7709
05/13/2021,Thursday,377,11745,12122,1475,2864,2284,1590,1545,1250,627,475,12,6361,5547,214,1794,686,2861,2816,532,3433,76,86,57,68,44,34,6,6,0,216,161,0,89,10,177,53,4,44,1399,2778,2227,1522,1501,1216,621,469,12,6145,5386,214,1705,676,2684,2763,528,3389
10/07/2021,Thursday,464,23891,24355,7430,4776,4294,2773,2301,1584,712,475,10,13211,10797,347,4429,1217,5279,6530,2484,4416,99,99,100,58,48,34,18,8,0,249,215,0,96,13,111,163,41,40,7331,4677,4194,2715,2253,1550,694,467,10,12962,10582,347,4333,1204,5168,6367,2443,4376
10/04/2021,Monday,517,28232,28749,9202,5241,4730,3283,2705,2003,922,626,37,15603,12545,601,5718,1586,5574,7639,2738,5494,120,100,101,60,60,39,28,9,0,253,263,1,99,22,135,167,37,57,9082,5141,4629,3223,2645,1964,894,617,37,15350,12282,600,5619,1564,5439,7472,2701,5437
04/24/2020,Friday,1110,2788,3898,146,631,700,646,682,569,298,216,10,2023,1736,139,843,103,895,587,158,1312,32,178,173,189,203,157,79,97,2,533,564,13,469,31,256,160,43,151,114,453,527,457,479,412,219,119,8,1490,1172,126,374,72,639,427,115,1161
02/08/2022,Tuesday,668,38966,39634,19827,5739,4396,3427,2876,1946,911,502,10,21479,17266,889,9102,2434,10582,8824,2418,6274,192,130,99,73,63,51,32,28,0,334,328,6,140,50,104,239,46,89,19635,5609,4297,3354,2813,1895,879,474,10,21145,16938,883,8962,2384,10478,8585,2372,6185
09/25/2020,Friday,444,8102,8546,685,2350,1853,1145,999,764,442,298,10,4674,3593,279,1564,304,1446,1943,359,2930,51,116,92,80,54,31,16,4,0,236,206,2,228,11,61,95,13,36,634,2234,1761,1065,945,733,426,294,10,4438,3387,277,1336,293,1385,1848,346,2894
11/27/2020,Friday,1452,10595,12047,839,2430,2292,1855,1747,1503,793,581,7,6812,5138,97,1921,411,2237,2413,466,4599,136,274,255,241,219,166,99,61,1,746,705,1,526,48,314,346,51,167,703,2156,2037,1614,1528,1337,694,520,6,6066,4433,96,1395,363,1923,2067,415,4432
10/17/2020,Saturday,604,6570,7174,641,1915,1599,948,860,661,354,191,5,3820,3291,63,1426,245,1256,1902,325,2020,76,162,126,97,63,52,19,9,0,303,301,0,258,15,81,168,27,55,565,1753,1473,851,797,609,335,182,5,3517,2990,63,1168,230,1175,1734,298,1965
03/26/2020,Thursday,426,1051,1477,35,207,347,312,262,181,86,46,1,772,702,3,177,44,430,298,60,468,1,65,80,84,92,59,37,8,0,187,239,0,86,15,207,89,12,17,34,142,267,228,170,122,49,38,1,585,463,3,91,29,223,209,48,451
11/15/2021,Monday,827,36213,37040,14555,5586,5520,4078,3447,2271,1022,555,6,19496,16970,574,7339,2224,8046,9728,2919,6784,219,158,165,115,90,45,22,12,1,401,421,5,128,18,195,260,79,147,14336,5428,5355,3963,3357,2226,1000,543,5,19095,16549,569,7211,2206,7851,9468,2840,6637
08/02/2020,Sunday,122,2540,2662,178,630,536,334,327,295,205,154,3,1495,1149,18,268,83,591,748,110,862,11,30,30,18,14,9,8,2,0,56,66,0,37,5,34,35,4,7,167,600,506,316,313,286,197,152,3,1439,1083,18,231,78,557,713,106,855
07/05/2020,Sunday,107,2538,2645,175,565,488,321,406,355,219,113,3,1441,1182,22,306,56,631,661,127,864,7,30,21,17,18,9,3,2,0,57,49,1,33,0,26,25,8,15,168,535,467,304,388,346,216,111,3,1384,1133,21,273,56,605,636,119,849
11/22/2020,Sunday,907,7933,8840,630,2856,2179,1146,889,669,321,146,4,4782,3969,89,1155,417,1131,3120,457,2560,70,227,189,147,106,94,49,25,0,461,445,1,251,38,169,309,40,100,560,2629,1990,999,783,575,272,121,4,4321,3524,88,904,379,962,2811,417,2460
06/27/2021,Sunday,24,3616,3640,512,768,781,527,475,313,177,84,3,1885,1736,19,430,189,768,818,209,1226,2,4,7,2,2,3,4,0,0,17,7,0,7,2,9,6,0,0,510,764,774,525,473,310,173,84,3,1868,1729,19,423,187,759,812,209,1226
10/25/2021,Monday,405,30043,30448,10892,4797,4725,3549,2993,2033,882,551,26,15826,14102,520,6427,1513,5774,8388,2616,5730,91,89,73,52,46,24,20,9,1,217,186,2,72,15,92,140,40,46,10801,4708,4652,3497,2947,2009,862,542,25,15609,13916,518,6355,1498,5682,8248,2576,5684
09/02/2021,Thursday,496,16225,16721,2963,4068,3548,2219,1651,1217,619,428,8,8883,7539,299,2623,965,2876,4181,677,5399,71,140,114,65,51,32,16,7,0,242,254,0,104,25,114,161,20,72,2892,3928,3434,2154,1600,1185,603,421,8,8641,7285,299,2519,940,2762,4020,657,5327
01/18/2021,Monday,824,13684,14508,695,3646,2677,2058,1975,1741,903,756,57,8080,6003,425,1853,626,2547,3472,438,5572,92,160,181,134,93,94,36,34,0,452,371,1,277,37,170,205,35,100,603,3486,2496,1924,1882,1647,867,722,57,7628,5632,424,1576,589,2377,3267,403,5472
11/03/2020,Tuesday,2266,15121,17387,1545,5047,3683,2304,1947,1475,782,602,2,9495,7584,308,3437,753,2480,4347,699,5671,279,588,472,380,284,156,66,41,0,1145,1117,4,984,74,282,586,99,241,1266,4459,3211,1924,1663,1319,716,561,2,8350,6467,304,2453,679,2198,3761,600,5430
12/23/2021,Thursday,8083,47295,55378,7246,13850,12648,8020,6366,4209,1940,1037,62,30147,24172,1059,5859,2257,10825,15745,8402,12290,1061,2325,1935,1197,824,464,171,102,4,4388,3615,80,1182,283,2152,2259,765,1442,6185,11525,10713,6823,5542,3745,1769,935,58,25759,20557,979,4677,1974,8673,13486,7637,10848
08/13/2020,Thursday,462,8466,8928,643,2564,1952,1199,1055,787,403,315,10,4921,3811,196,1873,264,1787,2106,304,2594,38,141,95,87,48,26,14,12,1,244,215,3,218,11,88,111,15,19,605,2423,1857,1112,1007,761,389,303,9,4677,3596,193,1655,253,1699,1995,289,2575
04/03/2020,Friday,464,1246,1710,24,241,322,328,323,235,154,82,1,947,749,14,224,63,472,261,70,620,2,68,68,79,85,77,52,33,0,248,216,0,117,27,191,81,14,34,22,173,254,249,238,158,102,49,1,699,533,14,107,36,281,180,56,586
05/27/2021,Thursday,153,9908,10061,1164,2338,1877,1273,1309,1117,612,368,3,5300,4687,74,1359,550,2193,2274,388,3297,24,44,26,16,13,16,9,5,0,81,72,0,44,0,65,26,4,14,1140,2294,1851,1257,1296,1101,603,363,3,5219,4615,74,1315,550,2128,2248,384,3283
08/21/2021,Saturday,385,10313,10698,1016,2742,2528,2017,1154,699,377,157,8,5760,4896,42,1162,415,1423,2059,370,5269,45,98,97,59,50,24,9,3,0,202,183,0,97,13,95,121,22,37,971,2644,2431,1958,1104,675,368,154,8,5558,4713,42,1065,402,1328,1938,348,5232
11/01/2020,Sunday,784,5062,5846,496,1711,1294,760,699,464,251,167,4,3174,2584,88,922,306,939,1761,271,1647,83,202,159,115,102,60,44,19,0,419,364,1,239,37,119,272,32,85,413,1509,1135,645,597,404,207,148,4,2755,2220,87,683,269,820,1489,239,1562
08/26/2021,Thursday,596,13913,14509,2260,3714,3139,1812,1431,1165,613,370,5,7695,6659,155,2107,1027,2720,3889,597,4169,85,139,146,85,50,41,31,19,0,305,291,0,119,34,173,177,18,75,2175,3575,2993,1727,1381,1124,582,351,5,7390,6368,155,1988,993,2547,3712,579,4094
12/28/2021,Tuesday,11362,47357,58719,16947,11831,10422,7256,5759,3702,1704,1062,36,32364,25656,699,11744,2389,11521,12334,6215,14516,2944,2539,2142,1489,1098,659,308,178,5,6344,4903,115,2805,394,2780,2328,880,2175,14003,9292,8280,5767,4661,3043,1396,884,31,26020,20753,584,8939,1995,8741,10006,5335,12341
10/22/2021,Friday,362,21476,21838,6710,4011,3874,2631,2209,1476,634,289,4,11885,9758,195,3523,1179,4634,5455,2932,4115,78,50,94,49,38,30,17,6,0,168,193,1,73,14,74,126,30,45,6632,3961,3780,2582,2171,1446,617,283,4,11717,9565,194,3450,1165,4560,5329,2902,4070
05/22/2021,Saturday,191,5022,5213,709,1033,924,676,692,634,375,165,5,2769,2420,24,804,261,1336,1089,169,1554,35,45,26,24,26,19,12,3,1,102,89,0,49,2,74,43,6,17,674,988,898,652,666,615,363,162,4,2667,2331,24,755,259,1262,1046,163,1537
12/17/2020,Thursday,1633,16595,18228,1248,5058,4245,2599,2279,1640,711,435,13,9946,7935,347,3217,719,2412,4977,858,6045,203,382,297,238,247,141,65,57,3,866,763,4,758,53,274,304,73,171,1045,4676,3948,2361,2032,1499,646,378,10,9080,7172,343,2459,666,2138,4673,785,5874
10/24/2021,Sunday,229,8018,8247,1671,1745,1574,1173,938,659,333,151,3,4342,3862,43,937,849,1606,2201,870,1784,54,47,59,27,19,11,7,5,0,125,104,0,46,12,41,88,18,24,1617,1698,1515,1146,919,648,326,146,3,4217,3758,43,891,837,1565,2113,852,1760
02/02/2021,Tuesday,765,16133,16898,850,4950,3201,2257,2203,1787,870,771,9,9041,7453,404,2212,967,3186,4334,668,5531,74,188,146,127,114,69,26,20,1,374,391,0,264,28,155,216,30,72,776,4762,3055,2130,2089,1718,844,751,8,8667,7062,404,1948,939,3031,4118,638,5459
07/03/2020,Friday,218,4906,5124,216,1026,945,692,722,698,452,368,5,2921,2102,101,613,139,1023,1069,173,2107,16,57,43,34,23,24,10,11,0,131,87,0,74,6,55,41,14,28,200,969,902,658,699,674,442,357,5,2790,2015,101,539,133,968,1028,159,2079
08/12/2021,Thursday,624,14098,14722,1422,3666,3539,2212,1683,1089,675,429,7,7731,6831,160,1623,751,2397,4033,477,5441,61,180,195,81,54,28,17,8,0,306,318,0,119,34,137,240,19,75,1361,3486,3344,2131,1629,1061,658,421,7,7425,6513,160,1504,717,2260,3793,458,5366
04/14/2020,Tuesday,638,1729,2367,132,350,451,407,379,320,185,142,1,1328,1028,11,474,97,619,488,102,587,16,100,120,112,118,72,52,48,0,341,295,2,243,26,192,102,27,48,116,250,331,295,261,248,133,94,1,987,733,9,231,71,427,386,75,539
06/20/2020,Saturday,165,3019,3184,215,608,570,442,492,435,282,135,5,1762,1390,32,452,62,655,686,136,1193,18,41,26,26,26,12,10,5,1,85,80,0,96,1,21,29,5,13,197,567,544,416,466,423,272,130,4,1677,1310,32,356,61,634,657,131,1180
02/13/2022,Sunday,229,5831,6060,915,1236,1187,784,767,590,299,276,6,3175,2740,145,710,254,1066,1500,233,2297,61,34,45,26,22,16,18,7,0,122,107,0,50,13,30,88,15,33,854,1202,1142,758,745,574,281,269,6,3053,2633,145,660,241,1036,1412,218,2264
09/28/2020,Monday,488,10988,11476,822,3383,2472,1480,1323,1009,556,428,3,6226,4899,351,2018,520,1896,2939,390,3713,58,119,92,84,58,44,22,11,0,247,239,2,250,7,71,101,18,41,764,3264,2380,1396,1265,965,534,417,3,5979,4660,349,1768,513,1825,2838,372,3672
04/05/2021,Monday,1038,18479,19517,2124,5229,3611,2579,2467,1808,961,733,5,10171,9058,288,2786,1093,3772,5655,906,5305,179,264,234,169,105,57,20,10,0,549,489,0,286,37,308,287,34,86,1945,4965,3377,2410,2362,1751,941,723,5,9622,8569,288,2500,1056,3464,5368,872,5219
08/05/2021,Thursday,499,15078,15577,1587,4439,3752,2211,1700,1113,489,277,9,8122,7295,160,1725,873,2173,4054,671,6081,67,161,140,49,35,29,9,9,0,241,258,0,91,16,111,195,20,66,1520,4278,3612,2162,1665,1084,480,268,9,7881,7037,160,1634,857,2062,3859,651,6015
03/20/2021,Saturday,337,6070,6407,635,1558,1400,931,749,610,332,188,4,3373,2923,111,1048,337,1276,1755,315,1676,38,105,74,44,35,26,7,8,0,177,160,0,99,17,92,98,11,20,597,1453,1326,887,714,584,325,180,4,3196,2763,111,949,320,1184,1657,304,1656
