Date,Day,Positive Tests,Not Positive Tests,Total Tests,Tests - Age 0-17,Tests - Age 18-29,Tests - Age 30-39,Tests - Age 40-49,Tests - Age 50-59,Tests - Age 60-69,Tests - Age 70-79,Tests - Age 80+,Tests - Age Unknown,Tests - Female,Tests - Male,Tests - Gender Unknown,Tests - Latinx,Tests - Asian Non-Latinx,Tests - Black Non-Latinx,Tests - White Non-Latinx,Tests - Other Race Non-Latinx,Tests - Unknown Race/Ethnicity,Positive Tests - Age 0-17,Positive Tests - Age 18-29,Positive Tests - Age 30-39,Positive Tests - Age 40-49,Positive Tests - Age 50-59,Positive Tests - Age 60-69,Positive Tests - Age 70-79,Positive Tests - Age 80+,Positive Tests - Age Unknown,Positive Tests - Female,Positive Tests - Male,Positive Tests - Unknown Gender,Positive Tests - Latinx,Positive Tests - Asian Non-Latinx,Positive Tests - Black Non-Latinx,Positive Tests - White Non-Latinx,Positive Tests - Other Race Non-Latinx,Positive Tests - Unknown Race/Ethnicity,Not-Positive Tests - Age 0-17,Not-Positive Tests - Age 18-29,Not-Positive Tests - Age 30-39,Not-Positive Tests - Age 40-49,Not-Positive Tests - Age 50-59,Not-Positive Tests - Age 60-69,Not-Positive Tests - Age 70-79,Not-Positive Tests - Age 80+,Not-Positive Tests - Age Unknown,Not-Positive Tests - Female,Not-Positive Tests - Male,Not-Positive Tests - Gender Unknown,Not-Positive Tests - Latinx,Not-Positive Tests - Asian Non-Latinx,Not-Positive Tests - Black Non-Latinx,Not-Positive Tests - White Non-Latinx,Not-Positive Tests - Other Race Non-Latinx,Not-Positive Tests - Unknown Race/Ethnicity
11/14/2021,Sunday,468,8922,9390,1977,2090,1798,1269,966,723,372,194,1,4817,4488,85,1053,505,2204,2708,850,2070,120,94,104,62,43,29,8,8,0,233,234,1,63,11,121,153,45,75,1857,1996,1694,1207,923,694,364,186,1,4584,4254,84,990,494,2083,2555,805,1995
10/01/2021,Friday,470,21918,22388,6525,4343,3936,2649,2228,1594,722,387,4,12396,9692,300,3593,1137,4796,6153,2434,4275,94,113,95,51,58,28,24,7,0,247,220,3,90,29,123,136,47,45,6431,4230,3841,2598,2170,1566,698,380,4,12149,9472,297,3503,1108,4673,6017,2387,4230
04/29/2020,Wednesday,1052,3208,4260,191,750,813,742,721,530,277,230,6,2244,1965,51,1131,94,849,655,164,1367,49,185,208,203,200,106,53,48,0,502,548,2,574,20,175,127,31,125,142,565,605,539,521,424,224,182,6,1742,1417,49,557,74,674,528,133,1242
11/26/2021,Friday,651,14878,15529,2277,3229,2993,2148,1967,1573,786,550,6,7886,7484,159,1710,935,3086,3668,1516,4614,112,145,141,80,91,53,17,12,0,332,318,1,124,35,119,205,71,97,2165,3084,2852,2068,1876,1520,769,538,6,7554,7166,158,1586,900,2967,3463,1445,4517
04/22/2020,Wednesday,1090,3139,4229,195,641,724,705,800,600,308,245,11,2123,1916,190,889,83,1045,573,157,1482,31,176,172,181,202,165,66,94,3,567,517,6,484,21,281,122,45,137,164,465,552,524,598,435,242,151,8,1556,1399,184,405,62,764,451,112,1345
03/02/2021,Tuesday,411,15861,16272,852,4826,3067,2180,2064,1706,861,709,7,8627,7162,483,2001,944,2869,4160,713,5585,54,122,82,57,45,27,15,9,0,224,187,0,132,27,77,117,20,38,798,4704,2985,2123,2019,1679,846,700,7,8403,6975,483,1869,917,2792,4043,693,5547
09/05/2021,Sunday,320,5476,5796,1218,1203,1226,710,582,450,275,131,1,3049,2726,21,848,353,1141,2021,276,1157,66,76,77,42,39,12,4,4,0,175,145,0,79,13,83,103,14,28,1152,1127,1149,668,543,438,271,127,1,2874,2581,21,769,340,1058,1918,262,1129
01/12/2021,Tuesday,1266,16764,18030,1042,5146,3500,2398,2362,1817,1020,740,5,9663,8063,304,2931,912,3147,4616,693,5731,152,332,236,177,150,117,57,45,0,640,625,1,491,53,238,300,57,127,890,4814,3264,2221,2212,1700,963,695,5,9023,7438,303,2440,859,2909,4316,636,5604
08/07/2020,Friday,476,8095,8571,748,2253,1837,1243,1046,805,412,227,0,4771,3669,131,1844,274,1680,2293,330,2150,65,125,104,64,50,41,19,8,0,241,234,1,234,10,86,99,16,31,683,2128,1733,1179,996,764,393,219,0,4530,3435,130,1610,264,1594,2194,314,2119
06/03/2021,Thursday,131,8799,8930,1049,2206,1778,1156,1124,910,462,238,7,4744,4121,65,1313,696,2109,2115,373,2324,27,23,23,19,12,13,8,5,1,64,67,0,32,4,57,25,0,13,1022,2183,1755,1137,1112,897,454,233,6,4680,4054,65,1281,692,2052,2090,373,2311
10/16/2020,Friday,1086,11885,12971,1063,4224,2768,1710,1389,1012,527,274,4,7020,5822,129,2509,671,2093,3571,530,3597,124,282,204,182,149,86,38,20,1,565,516,5,472,22,191,289,32,80,939,3942,2564,1528,1240,926,489,254,3,6455,5306,124,2037,649,1902,3282,498,3517
02/07/2022,Monday,720,40568,41288,18023,6637,4642,3738,3408,2516,1244,1022,58,21911,18560,817,8498,2479,10599,8876,3039,7797,182,137,125,73,66,66,46,25,0,383,332,5,169,56,121,221,37,116,17841,6500,4517,3665,3342,2450,1198,997,58,21528,18228,812,8329,2423,10478,8655,3002,7681
08/01/2020,Saturday,172,3563,3735,260,889,804,469,455,419,278,158,3,2003,1699,33,515,109,752,1088,172,1099,9,48,37,25,25,15,9,4,0,89,83,0,74,2,36,42,6,12,251,841,767,444,430,404,269,154,3,1914,1616,33,441,107,716,1046,166,1087
08/18/2021,Wednesday,597,17273,17870,1734,4651,4108,2694,1895,1474,724,582,8,9545,8145,180,1832,843,3088,4249,880,6978,70,181,145,76,58,41,19,7,0,274,322,1,133,27,143,206,23,65,1664,4470,3963,2618,1837,1433,705,575,8,9271,7823,179,1699,816,2945,4043,857,6913
09/26/2020,Saturday,246,4711,4957,379,1136,985,642,707,572,354,179,3,2682,2253,22,792,231,896,1288,185,1565,22,69,57,39,40,11,5,3,0,121,125,0,119,6,16,73,15,17,357,1067,928,603,667,561,349,176,3,2561,2128,22,673,225,880,1215,170,1548
05/26/2021,Wednesday,220,11346,11566,1187,2528,2135,1614,1493,1445,724,434,6,6122,5363,81,1605,590,2897,2275,446,3753,41,61,29,28,30,16,7,8,0,122,98,0,60,7,93,29,8,23,1146,2467,2106,1586,1463,1429,717,426,6,6000,5265,81,1545,583,2804,2246,438,3730
12/16/2021,Thursday,4475,42148,46623,11115,11042,9468,5915,4319,2838,1196,642,88,25426,20405,792,6272,2046,10945,12983,4402,9975,757,1509,1069,589,313,156,58,24,0,2435,2009,31,569,156,1213,1335,396,806,10358,9533,8399,5326,4006,2682,1138,618,88,22991,18396,761,5703,1890,9732,11648,4006,9169
10/05/2020,Monday,616,12137,12753,888,3740,2721,1660,1483,1192,638,427,4,6814,5618,321,2154,552,2075,3576,448,3948,61,169,131,105,75,48,22,5,0,304,312,0,292,16,104,137,15,52,827,3571,2590,1555,1408,1144,616,422,4,6510,5306,321,1862,536,1971,3439,433,3896
05/19/2021,Wednesday,333,11835,12168,1301,2903,2316,1604,1541,1379,679,429,16,6544,5548,76,1720,633,2960,2467,484,3904,48,79,76,35,36,41,10,7,1,177,156,0,91,8,141,52,9,32,1253,2824,2240,1569,1505,1338,669,422,15,6367,5392,76,1629,625,2819,2415,475,3872
02/07/2021,Sunday,249,4344,4593,346,1461,950,567,542,425,205,92,5,2373,2127,93,576,201,853,1542,215,1206,24,60,55,34,32,21,14,9,0,134,115,0,80,13,49,77,13,17,322,1401,895,533,510,404,191,83,5,2239,2012,93,496,188,804,1465,202,1189
11/09/2021,Tuesday,723,32744,33467,13468,5431,4974,3555,2832,1890,736,570,11,18108,14449,910,6516,1616,7925,7977,3133,6300,195,145,135,85,66,50,29,18,0,373,346,4,103,34,221,212,56,97,13273,5286,4839,3470,2766,1840,707,552,11,17735,14103,906,6413,1582,7704,7765,3077,6203
02/04/2022,Friday,759,33296,34055,15035,5671,4017,3181,2705,1979,881,571,15,18513,14696,846,7018,2282,8351,7678,2615,6111,188,161,116,94,78,66,28,28,0,402,351,6,202,58,117,211,46,125,14847,5510,3901,3087,2627,1913,853,543,15,18111,14345,840,6816,2224,8234,7467,2569,5986
06/03/2020,Wednesday,445,4026,4471,239,916,831,646,667,587,333,243,9,2305,1982,184,828,104,995,820,160,1564,28,95,77,74,74,45,31,20,1,246,198,1,221,6,91,60,19,48,211,821,754,572,593,542,302,223,8,2059,1784,183,607,98,904,760,141,1516
08/08/2021,Sunday,292,7015,7307,817,1935,1596,1205,839,470,280,161,4,3986,3292,29,744,351,1053,1795,281,3083,47,78,66,35,26,13,18,8,1,165,127,0,58,9,78,97,21,29,770,1857,1530,1170,813,457,262,153,3,3821,3165,29,686,342,975,1698,260,3054
04/08/2021,Thursday,956,14334,15290,1680,4659,2946,2031,1795,1227,562,380,10,8078,6931,281,2243,931,2926,4525,711,3954,155,282,211,131,96,56,12,11,2,502,453,1,284,39,261,273,25,74,1525,4377,2735,1900,1699,1171,550,369,8,7576,6478,280,1959,892,2665,4252,686,3880
07/13/2020,Monday,406,9980,10386,680,2445,2193,1391,1359,1185,697,431,5,5722,4405,259,1812,253,2315,2463,376,3167,38,118,83,61,40,40,11,15,0,226,178,2,166,10,109,67,13,41,642,2327,2110,1330,1319,1145,686,416,5,5496,4227,257,1646,243,2206,2396,363,3126
05/25/2021,Tuesday,164,12112,12276,1265,2813,2288,1648,1651,1329,750,516,16,6469,5712,95,1722,696,2699,2563,493,4103,24,40,27,20,23,19,9,2,0,99,65,0,47,4,68,27,6,12,1241,2773,2261,1628,1628,1310,741,514,16,6370,5647,95,1675,692,2631,2536,487,4091
02/19/2021,Friday,392,12840,13232,704,4611,2489,1620,1588,1260,559,399,2,6801,6031,400,1727,889,2507,3492,546,4071,52,101,72,48,55,23,20,21,0,198,192,2,128,18,74,105,21,46,652,4510,2417,1572,1533,1237,539,378,2,6603,5839,398,1599,871,2433,3387,525,4025
04/13/2021,Tuesday,754,16632,17386,1416,5051,3150,2292,2178,1745,862,686,6,9518,7576,292,2481,1064,3683,4603,741,4814,89,237,150,119,97,35,15,12,0,409,345,0,202,23,249,185,20,75,1327,4814,3000,2173,2081,1710,847,674,6,9109,7231,292,2279,1041,3434,4418,721,4739
02/18/2021,Thursday,361,12338,12699,737,4153,2399,1620,1526,1210,606,443,5,6811,5673,215,1640,736,2110,3461,518,4234,40,106,65,52,49,34,13,2,0,179,182,0,135,13,68,93,23,29,697,4047,2334,1568,1477,1176,593,441,5,6632,5491,215,1505,723,2042,3368,495,4205
12/27/2020,Sunday,720,5495,6215,506,1664,1410,846,765,569,279,173,3,3358,2805,52,848,257,987,2248,382,1493,54,152,140,95,106,87,50,36,0,375,340,5,211,31,138,240,34,66,452,1512,1270,751,659,482,229,137,3,2983,2465,47,637,226,849,2008,348,1427
04/11/2021,Sunday,424,5922,6346,1098,1700,1108,784,708,540,256,149,3,3149,3110,87,794,364,1306,2076,304,1502,83,96,91,65,34,34,15,6,0,218,206,0,97,21,144,123,11,28,1015,1604,1017,719,674,506,241,143,3,2931,2904,87,697,343,1162,1953,293,1474
08/04/2020,Tuesday,432,9139,9571,751,2407,1978,1237,1218,1021,560,384,15,5289,4100,182,1864,284,1947,2280,325,2871,53,124,79,65,47,37,22,3,2,217,212,3,198,9,93,82,17,33,698,2283,1899,1172,1171,984,538,381,13,5072,3888,179,1666,275,1854,2198,308,2838
